COMID,Lat,Lon,Elev_m
900049,42.96073873000006,-121.64742306,0.0
900050,42.97077962700007,-121.62473212699996,0.0
900051,42.97283344700003,-121.50894295899997,0.0
900052,42.96084068300007,-121.48244629499999,0.0
900053,42.964135904000045,-121.57974510199995,0.0
900054,42.959878522000054,-121.82871565499994,0.0
900055,42.948642308000046,-121.84554248899997,0.0
900056,42.94877561200008,-121.67226106399994,0.0
900057,42.97692217400004,-121.79884804799997,0.0
900058,42.94342587300008,-121.75236198299996,0.0
900059,42.93480616100004,-121.82721206599996,0.0
900060,42.92817195100008,-109.74145854299996,0.0
900061,42.97067936500008,-109.66442758699998,0.0
900062,42.94156557300005,-110.13882060399999,0.0
900063,42.931738460000076,-110.12745404599997,0.0
900064,42.929377213000066,-121.68790602799999,0.0
900065,42.93634734900007,-110.42758548699999,0.0
900066,42.91822094100007,-110.15453563699998,0.0
900067,42.913333504000036,-110.14666667199998,0.0
900068,42.92187335300008,-121.66588414299997,0.0
900069,42.91367831400004,-121.83740797099995,0.0
900070,42.90585428700007,-121.87108142399995,0.0
900071,43.03525560400004,-109.95445364199998,0.0
900072,42.934832106000044,-109.92096322899994,0.0
900073,42.89089648300006,-121.60930214399997,0.0
900074,42.90352376300007,-121.78060450699996,0.0
900075,42.906568882000045,-121.73716935299996,0.0
900076,42.89272010700006,-110.39477250899995,0.0
900077,42.88660398800005,-110.09162783199997,0.0
900078,42.889674349000074,-109.87572222199998,0.0
900079,42.95009089400003,-109.81050318299998,0.0
900080,42.88158587300006,-109.90344899499996,0.0
900081,42.90527898200003,-109.51177812999998,0.0
900082,42.87629464100007,-109.93183688999994,0.0
900083,42.88395542600006,-121.67195765299999,0.0
900084,42.86300196500008,-109.49778991799997,0.0
900085,42.86007230400003,-109.45790442099997,0.0
900086,42.90377867300003,-121.47201157699999,0.0
900087,42.90522860100003,-110.20733607599999,0.0
900088,42.86203094100006,-110.07083082399998,0.0
900089,42.86389798300007,-121.73926766799997,0.0
900090,42.85151442800003,-110.13971741199998,0.0
900091,42.851240036000036,-121.45228843899997,0.0
900092,42.851919328000065,-109.43926280199997,0.0
900093,42.86317726300007,-121.91679443899994,0.0
900094,42.87740138300006,-109.73066171399995,0.0
900095,42.877443044000074,-109.66919251199994,0.0
900096,42.84337835800005,-121.71187498699999,0.0
900097,42.84136411900005,-121.77818863699997,0.0
900098,42.84783187100004,-109.87261248999994,0.0
900099,42.84878733900007,-109.85754236199995,0.0
900100,42.82136780800005,-121.82163149899998,0.0
900101,42.83371946700004,-121.45444155199999,0.0
900102,42.817917453000064,-121.42779599199997,0.0
900103,42.820936741000025,-121.10110112799998,0.0
900104,42.83778873600005,-121.66091900299995,0.0
900105,42.83227263100008,-121.20881648399995,0.0
900106,42.81215288000004,-121.10445596599999,0.0
900107,42.81075722200006,-121.44308101999997,0.0
900108,42.813243611000075,-121.02918813599996,0.0
900109,42.830204749000075,-110.36524595899999,0.0
900110,42.800350355000035,-121.09756004699994,0.0
900111,42.791106169000045,-121.08643832499996,0.0
900112,42.794342106000045,-121.46185381599997,0.0
900113,42.790502426000046,-121.07353229699999,0.0
900114,42.79311501900003,-121.05792440299996,0.0
900115,42.80593905100005,-121.79976982299996,0.0
900116,42.79670516200008,-109.82178696999995,0.0
900117,42.80756486200005,-109.77978564799997,0.0
900118,42.77946761700008,-121.83628337099998,0.0
900119,42.78964121700005,-121.44385049399995,0.0
900120,42.77500000200007,-121.44000000099999,0.0
900121,42.77760871300006,-121.81019961399994,0.0
900122,42.78470078400005,-110.276825369,0.0
900123,42.77780578800008,-121.15360566999999,0.0
900124,42.77324013900005,-121.11935864999998,0.0
900125,42.773052095000025,-110.46027966199995,0.0
900126,42.76197185900003,-121.45221888299994,0.0
900127,42.77483709000006,-121.02754190999997,0.0
900128,42.758888753000065,-110.36258720999996,0.0
900129,42.77007520300003,-121.080650634,0.0
900130,42.76654195300006,-109.57629175099999,0.0
900131,42.75011280700005,-109.59004636399999,0.0
900132,42.792317971000045,-122.07733630699994,0.0
900133,42.759507162000034,-122.02266245099997,0.0
900134,42.763159623000035,-109.75546074899995,0.0
900135,42.82902110500004,-109.66068613999994,0.0
900136,42.74608954300004,-120.97439092099995,0.0
900137,42.75860751100004,-109.51289958199999,0.0
900138,42.74588355700007,-121.43367802899996,0.0
900139,42.75807961100003,-121.68896017499998,0.0
